ID_licenciamentos_combustiveis;licenciamentos;FK_combustivel;FK_grupo_veiculo;mes;ano
1;6687;1;1;jan;2024
2;7099;1;1;fev;2024
3;7776;1;1;mar;2024
4;7581;1;1;abr;2024
5;7816;1;1;mai;2024
6;0;1;1;jun;2024
7;0;1;1;jul;2024
8;0;1;1;ago;2024
9;0;1;1;set;2024
10;0;1;1;out;2024
11;0;1;1;nov;2024
12;0;1;1;dez;2024
13;4354;2;1;jan;2024
14;3632;2;1;fev;2024
15;6132;2;1;mar;2024
16;6699;2;1;abr;2024
17;5170;2;1;mai;2024
18;0;2;1;jun;2024
19;0;2;1;jul;2024
20;0;2;1;ago;2024
21;0;2;1;set;2024
22;0;2;1;out;2024
23;0;2;1;nov;2024
24;0;2;1;dez;2024
25;3879;3;1;jan;2024
26;3304;3;1;fev;2024
27;4453;3;1;mar;2024
28;4893;3;1;abr;2024
29;4717;3;1;mai;2024
30;0;3;1;jun;2024
31;0;3;1;jul;2024
32;0;3;1;ago;2024
33;0;3;1;set;2024
34;0;3;1;out;2024
35;0;3;1;nov;2024
36;0;3;1;dez;2024
37;3789;4;1;jan;2024
38;3509;4;1;fev;2024
39;3023;4;1;mar;2024
40;3608;4;1;abr;2024
41;3720;4;1;mai;2024
42;0;4;1;jun;2024
43;0;4;1;jul;2024
44;0;4;1;ago;2024
45;0;4;1;set;2024
46;0;4;1;out;2024
47;0;4;1;nov;2024
48;0;4;1;dez;2024
49;117776;5;1;jan;2024
50;121596;5;1;fev;2024
51;138786;5;1;mar;2024
52;165610;5;1;abr;2024
53;144744;5;1;mai;2024
54;0;5;1;jun;2024
55;0;5;1;jul;2024
56;0;5;1;ago;2024
57;0;5;1;set;2024
58;0;5;1;out;2024
59;0;5;1;nov;2024
60;0;5;1;dez;2024
61;15762;6;1;jan;2024
62;16371;6;1;fev;2024
63;16060;6;1;mar;2024
64;19957;6;1;abr;2024
65;17259;6;1;mai;2024
66;0;6;1;jun;2024
67;0;6;1;jul;2024
68;0;6;1;ago;2024
69;0;6;1;set;2024
70;0;6;1;out;2024
71;0;6;1;nov;2024
72;0;6;1;dez;2024
73;68;2;2;jan;2024
74;31;2;2;fev;2024
75;74;2;2;mar;2024
76;102;2;2;abr;2024
77;43;2;2;mai;2024
78;0;2;2;jun;2024
79;0;2;2;jul;2024
80;0;2;2;ago;2024
81;0;2;2;set;2024
82;0;2;2;out;2024
83;0;2;2;nov;2024
84;0;2;2;dez;2024
85;6;7;2;jan;2024
86;6;7;2;fev;2024
87;8;7;2;mar;2024
88;14;7;2;abr;2024
89;17;7;2;mai;2024
90;0;7;2;jun;2024
91;0;7;2;jul;2024
92;0;7;2;ago;2024
93;0;7;2;set;2024
94;0;7;2;out;2024
95;0;7;2;nov;2024
96;0;7;2;dez;2024
97;9294;6;2;jan;2024
98;9677;6;2;fev;2024
99;11419;6;2;mar;2024
100;12378;6;2;abr;2024
101;10770;6;2;mai;2024
102;0;6;2;jun;2024
103;0;6;2;jul;2024
104;0;6;2;ago;2024
105;0;6;2;set;2024
106;0;6;2;out;2024
107;0;6;2;nov;2024
108;0;6;2;dez;2024
