ID_licenciamentos_motorizacao;licenciamentos;FK_motorizacao;mes;ano
1;57245;1;jan;2024
2;61762;1;fev;2024
3;69999;1;mar;2024
4;87321;1;abr;2024
5;72874;1;mai;2024
6;0;1;jun;2024
7;0;1;jul;2024
8;0;1;ago;2024
9;0;1;set;2024
10;0;1;out;2024
11;0;1;nov;2024
12;0;1;dez;2024
13;54422;2;jan;2024
14;52544;2;fev;2024
15;59440;2;mar;2024
16;67300;2;abr;2024
17;63084;2;mai;2024
18;0;2;jun;2024
19;0;2;jul;2024
20;0;2;ago;2024
21;0;2;set;2024
22;0;2;out;2024
23;0;2;nov;2024
24;0;2;dez;2024
25;2522;3;jan;2024
26;2418;3;fev;2024
27;2371;3;mar;2024
28;3256;3;abr;2024
29;2934;3;mai;2024
30;0;3;jun;2024
31;0;3;jul;2024
32;0;3;ago;2024
33;0;3;set;2024
34;0;3;out;2024
35;0;3;nov;2024
36;0;3;dez;2024
